Unnamed: 0,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,undervalued
688,Alex Fudge,20.0,DAL,SF,2.0,0.0,26.0,16.2,0.611,0.333,0.0,8.4,4.2,6.3,0.0,5.5,0.0,10.0,16.5,0.0,0.0,0.1,0.108,-0.4,2.1,1.7,0.0,none,True
689,JD Davison,21.0,BOS,SG,8.0,0.0,39.0,18.8,0.581,0.583,0.333,5.8,21.2,13.8,32.9,1.3,2.3,12.7,17.6,0.1,0.1,0.2,0.228,1.8,1.4,3.3,0.1,none,True
690,RaiQuan Gray,24.0,SAS,PF,3.0,0.0,39.0,22.7,0.676,0.412,0.0,5.5,14.0,9.7,25.2,1.2,2.1,5.6,19.5,0.1,0.0,0.2,0.187,5.6,1.8,7.4,0.1,none,True
691,Jacob Toppin,23.0,NYK,SF,9.0,0.0,38.0,14.3,0.658,0.444,0.222,8.8,11.9,10.3,10.9,0.0,2.5,9.2,12.4,0.1,0.0,0.1,0.161,0.6,-1.3,-0.7,0.0,none,True
695,Dexter Dennis,24.0,DAL,SG,4.0,0.0,30.0,18.3,0.541,0.421,0.158,3.7,29.0,16.4,23.7,0.0,2.9,12.9,33.3,0.0,0.0,0.0,0.004,1.7,-0.1,1.7,0.0,none,True
697,Jordan Miller,24.0,LAC,SF,8.0,0.0,28.0,14.1,0.658,0.222,0.222,12.5,7.8,10.1,0.0,0.0,0.0,9.2,17.0,0.1,0.0,0.1,0.116,0.4,-4.2,-3.8,0.0,none,True
702,Mamadi Diakite,27.0,2TM,PF,6.0,0.0,24.0,18.6,0.694,0.167,1.0,4.5,13.8,9.1,13.5,2.1,3.5,10.4,17.0,0.1,0.0,0.1,0.168,0.8,2.7,3.5,0.0,none,True
703,Mamadi Diakite,27.0,SAS,PF,3.0,0.0,16.0,30.4,0.785,0.0,1.2,6.7,13.6,10.1,20.3,0.0,5.2,0.0,20.2,0.1,0.0,0.1,0.349,7.9,3.7,11.6,0.1,none,True
706,Drew Peterson,24.0,BOS,PF,3.0,0.0,23.0,18.5,0.917,0.833,0.0,0.0,4.5,2.3,5.9,4.3,0.0,14.3,13.3,0.1,0.0,0.1,0.194,3.8,1.6,5.3,0.0,none,True
707,Jordan Ford,25.0,SAC,PG,6.0,0.0,22.0,16.8,0.761,0.429,0.286,0.0,10.4,5.1,12.8,0.0,0.0,11.3,17.3,0.1,0.0,0.1,0.157,3.3,-1.1,2.2,0.0,none,True
713,D.J. Wilson,27.0,PHI,PF,2.0,0.0,15.0,31.6,0.833,0.333,0.0,7.2,7.5,7.4,22.5,0.0,12.2,0.0,17.3,0.1,0.0,0.1,0.355,15.5,7.0,22.4,0.1,none,True
716,Quenton Jackson,25.0,IND,PG,3.0,0.0,11.0,16.1,0.532,0.0,2.0,0.0,41.2,20.6,18.6,4.3,0.0,0.0,7.2,0.0,0.0,0.0,0.203,-3.5,6.8,3.3,0.0,none,True
723,Shaquille Harrison,30.0,MEM,SG,3.0,0.0,6.0,15.9,0.5,0.0,0.0,0.0,38.0,18.2,0.0,0.0,15.6,0.0,14.3,0.0,0.0,0.0,0.09,-0.7,5.2,4.6,0.0,none,True
725,Hamidou Diallo,25.0,WAS,SG,2.0,0.0,5.0,33.2,0.5,0.0,0.0,41.8,0.0,21.4,28.9,18.7,0.0,33.3,25.3,0.0,0.0,0.0,0.204,2.7,16.0,18.7,0.0,none,True
727,Markquis Nowell,24.0,TOR,SG,1.0,0.0,4.0,55.5,0.532,0.0,2.0,53.9,0.0,27.5,57.1,12.1,0.0,0.0,20.1,0.0,0.0,0.1,0.665,29.1,14.2,43.3,0.0,none,True
729,Izaiah Brockington,24.0,NOP,PG,1.0,0.0,3.0,26.6,0.4,0.2,0.0,37.6,36.7,37.1,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,-0.177,-9.2,-8.5,-17.8,0.0,none,True
