,Unnamed: 0,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,PER_norm,TS%_norm,USG%_norm,WS/48_norm,BPM_norm,VORP_norm,PerfScore
186,186,Andrew Nembhard,24.0,IND,PG,68.0,47.0,1697.0,11.3,0.573,0.328,0.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,1.3,0.7,2.0,0.057,-1.6,-0.5,-2.2,-0.1,none,-0.16225788739017985,0.25940058565079166,-0.3015434773186523,-0.10845230271058036,-0.030988559377387658,-0.45222130454318704,-0.1326771576148659
187,187,Cason Wallace,20.0,OKC,SG,82.0,13.0,1692.0,12.0,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2.0,8.9,12.9,1.9,2.1,4.0,0.115,-0.9,1.0,0.1,0.9,none,-0.056984642671078174,0.6127688529858503,-0.7986544584243148,0.41662681876040764,0.3949151774313433,0.4174350503475573,0.1643511330716276
188,188,Trey Murphy III,23.0,NOP,SF,57.0,23.0,1690.0,16.3,0.612,0.717,0.243,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,3.4,2.0,5.4,0.154,2.5,0.0,2.5,1.9,none,0.5896938606034042,0.6127688529858503,0.11538831328609729,0.7696972625081409,0.8393364680143669,1.2870914052383016,0.7023293604393602
189,189,Kristaps Porziņģis,28.0,BOS,C,57.0,57.0,1690.0,23.2,0.647,0.39,0.402,6.5,19.1,13.1,10.0,1.2,5.8,9.1,25.1,4.9,3.0,7.9,0.226,3.5,1.6,5.1,3.0,none,1.6273872728345502,0.9298942211070568,1.1577177897979707,1.421519620196264,1.3207928661459758,2.2437133956181206,1.4501708609499897
190,190,Kyle Lowry,37.0,2TM,PG,60.0,55.0,1690.0,10.9,0.594,0.663,0.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,1.6,1.9,3.5,0.1,-1.9,0.9,-1.0,0.4,none,-0.22241402722966663,0.4496758065235155,-0.7986544584243148,0.2808304942420487,0.19122208591412415,-0.017393127097814855,-0.019455537678684662
191,191,Kyle Lowry,37.0,MIA,PG,37.0,35.0,1037.0,10.9,0.582,0.665,0.174,2.7,11.5,7.0,19.5,1.9,1.4,16.9,13.5,0.8,1.4,2.2,0.1,-2.0,1.3,-0.8,0.3,none,-0.22241402722966663,0.340947108881959,-0.7024394298232189,0.2808304942420487,0.22825719346270945,-0.10435876258688931,-0.029862903842176287
192,192,Kyle Lowry,37.0,PHI,PG,23.0,20.0,653.0,11.0,0.615,0.659,0.244,1.5,9.6,5.5,21.1,1.5,0.8,17.6,12.0,0.8,0.6,1.4,0.102,-1.7,0.4,-1.3,0.1,none,-0.207374992269795,0.6399510273962394,-0.942977001325959,0.29893667084449643,0.1356694245912462,-0.2782900335650381,-0.059014150721468345
193,193,Jordan Clarkson,31.0,UTA,SG,55.0,19.0,1682.0,12.7,0.521,0.379,0.246,3.2,9.0,6.2,24.6,1.0,0.3,13.9,26.1,0.1,0.1,0.2,0.006,-1.3,-3.2,-4.5,-1.1,none,0.048288602048023495,-0.21175710412928558,1.3180761707997972,-0.5701598060730008,-0.45689229618611854,-1.3218776594339314,-0.19905368216241925
194,194,De'Andre Hunter,26.0,ATL,SF,57.0,37.0,1681.0,12.7,0.595,0.459,0.296,1.9,12.9,7.2,7.3,1.1,0.9,10.0,20.6,1.6,0.6,2.2,0.062,-0.9,-1.5,-2.4,-0.2,none,0.048288602048023495,0.45873653132697856,0.4361050752897506,-0.06318686120446074,-0.0680236669259729,-0.5391869400322614,0.04545545675034294
195,195,Pat Connaughton,31.0,MIL,SF,76.0,3.0,1676.0,9.6,0.574,0.686,0.167,3.4,12.0,7.8,12.0,1.1,1.0,11.6,10.9,1.6,1.2,2.8,0.08,-1.6,0.0,-1.6,0.2,none,-0.4179214817079986,0.2684613104542547,-1.1193712204279682,0.09976872821757005,0.08011676326836825,-0.19132439807596371,-0.21337838304528958
196,196,Christian Braun,22.0,DEN,SG,82.0,4.0,1655.0,12.1,0.554,0.34,0.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,1.5,2.0,3.4,0.1,-1.7,-0.2,-1.9,0.0,none,-0.04194560771120655,0.08724681438499482,-0.3496509916192004,0.2808304942420487,0.024564101945490337,-0.3652556690541126,-0.06070180963533094
197,197,Simone Fontecchio,28.0,2TM,SF,66.0,43.0,1644.0,12.1,0.6,0.609,0.12,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,1.5,0.6,2.1,0.061,0.0,-1.0,-1.0,0.4,none,-0.04194560771120655,0.5040401553442938,-0.22136428681773893,-0.07223994950568467,0.19122208591412415,-0.017393127097814855,0.05705321168766216
198,198,Simone Fontecchio,28.0,UTA,SF,50.0,34.0,1160.0,11.2,0.592,0.651,0.112,5.0,11.7,8.4,8.6,1.2,1.4,12.0,15.4,0.9,0.3,1.3,0.052,-0.4,-1.2,-1.6,0.1,none,-0.17729692235005173,0.43155435691658944,-0.3977585059197482,-0.15371774421670006,0.08011676326836825,-0.2782900335650381,-0.08256534764443008
199,199,Simone Fontecchio,28.0,DET,SF,16.0,9.0,484.0,14.4,0.613,0.532,0.137,2.7,13.6,8.1,8.8,1.4,0.9,7.8,19.2,0.6,0.3,0.8,0.083,1.0,-0.4,0.6,0.3,none,0.30395219636584225,0.6218295777893134,0.21160334188719296,0.12692799312124187,0.48750294630280655,-0.10435876258688931,0.27457621547991795
200,200,Ochai Agbaji,23.0,2TM,SG,78.0,28.0,1641.0,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1.0,none,-0.7036631459455605,-0.4292144994123986,-0.7184752679234016,-0.6063721592778966,-0.438374742411826,-1.2349120239448568,-0.6885019731526567
201,201,Ochai Agbaji,23.0,UTA,SG,51.0,10.0,1003.0,8.1,0.531,0.57,0.08,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.2,0.1,0.3,0.4,0.019,-2.5,-0.5,-3.0,-0.3,none,-0.6435070061060738,-0.12114985609465516,-0.9109053251255937,-0.4524696581570897,-0.17912898957172882,-0.6261525755213359,-0.48888556842941283
202,202,Ochai Agbaji,23.0,TOR,SG,27.0,18.0,638.0,7.1,0.453,0.375,0.196,6.6,9.0,7.8,7.4,1.5,2.1,13.1,15.4,-0.6,0.3,-0.3,-0.024,-5.0,-1.5,-6.5,-0.7,none,-0.7938973557047907,-0.827886390764772,-0.3977585059197482,-0.8417524551097189,-0.8272433716719716,-0.9740151174776335,-0.7770921994414391
203,203,Julius Randle,29.0,NYK,PF,46.0,46.0,1630.0,18.9,0.569,0.292,0.361,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,1.9,1.9,3.8,0.113,2.2,-0.3,1.9,1.6,AS,0.9807087695600677,0.22315768643693945,1.9274380186067381,0.3985206421579598,0.728231145368611,1.0261944987710785,0.8807084601502323
204,204,Precious Achiuwa,24.0,2TM,PF,74.0,18.0,1624.0,14.6,0.545,0.207,0.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2,none,0.3340302662855855,0.005700291153827442,-0.3175793154188349,0.29893667084449643,0.11715187081695358,-0.19132439807596371,0.0411525642676774
205,205,Precious Achiuwa,24.0,TOR,C,25.0,0.0,437.0,15.0,0.512,0.276,0.247,12.3,22.1,17.1,14.5,1.8,2.4,13.3,21.2,0.0,0.4,0.4,0.048,-1.4,-0.2,-1.6,0.0,none,0.3941864061250723,-0.29330362736045296,0.5323201038908463,-0.18993009742159575,0.08011676326836825,-0.3652556690541126,0.026355646574687596
206,206,Precious Achiuwa,24.0,NYK,PF,49.0,18.0,1187.0,14.5,0.564,0.167,0.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14.0,1.2,1.8,3.0,0.122,-1.9,0.5,-1.4,0.2,none,0.3189912313257139,0.17785406241962426,-0.6222602393223056,0.4799984368689751,0.11715187081695358,-0.19132439807596371,0.046735160672166265
207,207,Santi Aldama,23.0,MEM,PF,61.0,35.0,1618.0,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2.0,2.4,0.07,-0.7,0.4,-0.2,0.7,none,0.10844474188751027,-0.04866405766695082,0.0031374465848181695,0.009237845205330778,0.33936251610846535,0.24350377936940837,0.10917037858143035
208,208,Cameron Johnson,27.0,BRK,PF,58.0,47.0,1599.0,14.5,0.582,0.57,0.176,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,2.0,1.3,3.3,0.1,0.9,-0.5,0.4,1.0,none,0.3189912313257139,0.340947108881959,0.275746694287924,0.2808304942420487,0.45046783875422125,0.5044006858366318,0.36189734222141645
209,209,Malaki Branham,20.0,SAS,PG,75.0,29.0,1594.0,8.7,0.526,0.427,0.1,1.9,8.2,5.0,14.0,0.8,0.4,12.2,19.8,-0.9,0.6,-0.3,-0.008,-3.4,-2.2,-5.6,-1.5,none,-0.5532727963468438,-0.16645348011197036,0.3078183704882892,-0.6969030422901358,-0.6605853877033376,-1.669740201390229,-0.5731894228923712
210,210,Paul Reed,24.0,PHI,C,82.0,24.0,1590.0,17.4,0.58,0.119,0.177,13.2,20.9,16.9,9.8,2.1,4.8,11.5,15.9,2.5,2.6,5.1,0.154,-0.6,1.0,0.4,0.9,none,0.7551232451619925,0.32282565927503293,-0.3175793154188349,0.7696972625081409,0.45046783875422125,0.4174350503475573,0.39966162343801837
211,211,Ausar Thompson,21.0,DET,SF,63.0,38.0,1583.0,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,none,0.06332763700789538,-0.20269637932582255,-0.20532844871755604,-0.14466465591547611,-0.030988559377387658,-0.45222130454318704,-0.1620952851452557
212,212,Anfernee Simons,24.0,POR,SG,46.0,46.0,1582.0,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28.0,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8,none,0.5295377207639175,0.2140969616334764,1.6227570947032677,-0.0088683313971171,0.413432731205636,0.3304694148584829,0.5169042652946105
213,213,Kevin Huerter,25.0,SAC,SG,64.0,59.0,1562.0,12.4,0.564,0.609,0.084,2.7,13.6,8.0,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,0.089,-0.5,-0.4,-0.8,0.5,none,0.003171497168408608,0.17785406241962426,-0.09307758201627749,0.18124652292858537,0.22825719346270945,0.06957250839125956,0.09450403372571829
214,214,Bennedict Mathurin,21.0,IND,SF,59.0,19.0,1538.0,13.0,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,none,0.09340570692763865,0.15973261281269918,0.8851085420948648,-0.21708936232526757,-0.2531992046688994,-0.8870494819885593,-0.0365151978579206
215,215,Evan Mobley,22.0,CLE,PF,50.0,50.0,1532.0,20.1,0.626,0.107,0.31,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,0.174,0.9,2.0,2.9,1.9,none,1.1611771890785283,0.7396190002343329,0.4361050752897506,0.9507590285326194,0.9134066831115375,1.2870914052383016,0.9146930635808451
216,216,Chris Paul,38.0,GSW,PG,58.0,18.0,1531.0,14.7,0.544,0.45,0.111,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,2.6,1.7,4.3,0.136,-0.2,1.2,1.0,1.2,none,0.34906930124545715,-0.0033604336496356013,-0.365686829719383,0.6067416730861103,0.5615731613999771,0.6783319568147805,0.3044448048628844
217,217,Russell Westbrook,35.0,LAC,PG,68.0,11.0,1529.0,16.2,0.514,0.232,0.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,0.2,1.9,2.1,0.066,-0.2,0.7,0.5,1.0,6MOY-7,0.5746548256435323,-0.2751821777535269,1.1737536278981529,-0.026974507999564978,0.4689853925285139,0.5044006858366318,0.4032729743589565
218,218,Nicolas Batum,35.0,2TM,PF,60.0,38.0,1529.0,10.2,0.603,0.723,0.082,5.0,13.1,9.0,10.7,1.5,2.3,13.1,8.6,1.7,1.6,3.3,0.103,-1.3,0.8,-0.4,0.6,none,-0.32768727194876857,0.5312223297546829,-1.4881954967321696,0.3079897591457204,0.30232740855988005,0.15653814388033396,-0.08630085455672015
219,219,Nicolas Batum,35.0,LAC,PF,3.0,0.0,54.0,9.8,0.5,0.875,0.0,0.0,14.2,7.3,11.2,2.7,6.7,11.1,7.3,0.0,0.1,0.1,0.091,-1.5,4.4,2.8,0.1,none,-0.3878434117882551,-0.40203232500200947,-1.6966613920345441,0.19935269953103324,0.8948891293372448,-0.2782900335650381,-0.2784308889202614
220,220,Nicolas Batum,35.0,PHI,PF,57.0,38.0,1475.0,10.3,0.606,0.718,0.085,5.1,13.0,9.0,10.6,1.5,2.1,13.2,8.7,1.6,1.5,3.2,0.104,-1.3,0.7,-0.5,0.5,none,-0.31264823698889666,0.558404504165072,-1.472159658631987,0.31704284744694433,0.2838098547855874,0.06957250839125956,-0.09266303013867006
221,221,Zach Collins,26.0,SAS,C,69.0,29.0,1526.0,14.3,0.565,0.294,0.263,8.3,18.0,13.1,18.9,1.1,2.8,16.1,22.7,0.4,1.5,1.8,0.057,-2.0,-0.1,-2.0,0.0,none,0.2889131614059706,0.1869147872230873,0.7728576753935863,-0.10845230271058036,0.006046548171197672,-0.3652556690541126,0.13017070007152484
222,222,Josh Green,23.0,DAL,SG,57.0,33.0,1505.0,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1.0,1.2,2.2,0.071,-2.4,-0.3,-2.7,-0.3,none,-0.37280437682838347,0.3953114577027373,-0.7665827822239496,0.018290933506554592,-0.12357632824885091,-0.6261525755213359,-0.24591894526887134
223,223,Walker Kessler,22.0,UTA,C,64.0,22.0,1493.0,18.0,0.663,0.054,0.266,12.3,23.1,17.7,5.6,1.0,9.2,14.4,12.8,2.4,1.7,4.1,0.131,-0.4,1.3,0.9,1.1,none,0.8453574549212227,1.0748658179624655,-0.8146902965244974,0.5614762315799905,0.5430556076256845,0.5913663213257063,0.46690518948176196
224,224,Draymond Green,33.0,GSW,PF,55.0,52.0,1490.0,14.5,0.587,0.347,0.199,5.6,23.0,14.4,28.6,1.8,2.9,25.0,15.3,1.4,2.2,3.6,0.116,-0.6,3.0,2.4,1.6,none,0.3189912313257139,0.38625073289927425,-0.4137943440199308,0.4256799070616316,0.8208189142400742,1.0261944987710785,0.42735682337964026
225,225,Peyton Watson,21.0,DEN,SF,80.0,4.0,1488.0,11.8,0.539,0.34,0.237,4.3,14.6,9.6,7.4,1.4,5.0,10.5,16.2,0.3,2.2,2.5,0.079,-3.0,0.8,-2.2,-0.1,none,-0.08706271259082143,-0.04866405766695082,-0.26947180111828706,0.0907156399163461,-0.030988559377387658,-0.45222130454318704,-0.132948799230048
226,226,Matisse Thybulle,26.0,POR,SF,65.0,19.0,1487.0,10.4,0.537,0.729,0.091,2.1,8.5,5.1,8.3,3.8,3.0,10.8,10.6,0.4,1.8,2.2,0.072,-2.8,3.4,0.6,0.9,none,-0.297609202029025,-0.0667855072738769,-1.1674787347285163,0.02734402180777853,0.48750294630280655,0.4174350503475573,-0.09993190426221261
227,227,Khris Middleton,32.0,MIL,SF,55.0,55.0,1487.0,17.0,0.595,0.384,0.187,3.0,15.7,9.5,28.9,1.6,0.9,15.4,23.9,1.9,1.4,3.4,0.109,1.1,0.0,1.1,1.2,none,0.6949671053225059,0.45873653132697856,0.9652877325957782,0.362308288953064,0.5800907151742698,0.6783319568147805,0.6232870550312296
228,228,Bojan Bogdanović,34.0,2TM,PF,57.0,27.0,1478.0,12.6,0.581,0.49,0.219,1.6,10.0,5.7,10.3,1.0,0.3,11.9,24.6,0.3,0.7,1.1,0.034,-0.7,-2.5,-3.2,-0.4,6MOY-9,0.03324956708815187,0.33188638407849597,1.0775385992970572,-0.3166733336387308,-0.21616409712031415,-0.7131182110104104,0.03278648478237495
229,229,Bojan Bogdanović,34.0,DET,PF,28.0,27.0,921.0,14.1,0.6,0.487,0.245,1.5,10.0,5.7,12.2,1.2,0.4,11.8,24.7,0.5,0.3,0.8,0.042,0.3,-2.5,-2.1,0.0,none,0.2588350914862271,0.5040401553442938,1.0935744373972396,-0.24424862722893934,-0.012471005603094993,-0.3652556690541126,0.20574573039026892
230,230,Bojan Bogdanović,34.0,NYK,SF,29.0,0.0,557.0,10.1,0.549,0.496,0.176,1.8,9.9,5.8,7.1,0.6,0.2,12.1,24.3,-0.2,0.4,0.2,0.021,-2.4,-2.5,-4.9,-0.4,none,-0.3427263069086402,0.041943190367679614,1.0294310849965091,-0.43436348155464183,-0.5309625112832892,-0.7131182110104104,-0.15829937256546547
231,231,Julian Champagnie,22.0,SAS,SF,74.0,59.0,1468.0,10.6,0.57,0.689,0.229,3.1,12.2,7.6,9.3,1.6,2.4,11.4,14.4,0.6,1.3,1.8,0.059,-1.8,-0.1,-1.9,0.0,none,-0.26753113210928176,0.23221841124040252,-0.5581168869215749,-0.09034612610813254,0.024564101945490337,-0.3652556690541126,-0.17074455016786816
232,232,Patrick Beverley,35.0,2TM,PG,73.0,13.0,1462.0,11.6,0.539,0.478,0.237,3.7,14.3,9.0,19.0,1.4,1.9,13.4,14.3,1.2,1.5,2.7,0.09,-1.5,0.5,-1.1,0.3,none,-0.11714078251056495,-0.04866405766695082,-0.5741527250217575,0.19029961122980932,0.1727045321398315,-0.10435876258688931,-0.08021869740275363
233,233,Patrick Beverley,35.0,PHI,PG,47.0,5.0,919.0,11.7,0.547,0.452,0.261,3.5,14.1,8.7,21.0,1.3,1.8,15.4,14.9,0.7,0.9,1.7,0.087,-1.5,0.0,-1.5,0.1,none,-0.10210174755069333,0.023821740760753527,-0.47793769642066153,0.1631403463261375,0.09863431704266092,-0.2782900335650381,-0.09545551223447352
234,234,Patrick Beverley,35.0,MIL,PG,26.0,8.0,543.0,11.4,0.524,0.522,0.196,3.9,14.8,9.5,15.8,1.7,2.0,9.6,13.2,0.5,0.6,1.1,0.095,-1.6,1.2,-0.4,0.2,none,-0.14721885243030822,-0.18457492971889647,-0.750546944123767,0.235565052735929,0.30232740855988005,-0.19132439807596371,-0.12262877717552105
235,235,Amir Coffey,26.0,LAC,SF,70.0,13.0,1460.0,10.0,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1.0,2.6,0.084,-1.9,-0.3,-2.2,-0.1,none,-0.35776534186851183,0.540283054558146,-0.8627978108250456,0.1359810814224658,-0.030988559377387658,-0.45222130454318704,-0.17125148010558675
236,236,Isaiah Joe,24.0,OKC,SG,78.0,1.0,1445.0,13.4,0.626,0.728,0.107,2.6,11.0,6.9,8.9,1.5,1.4,8.5,16.6,1.9,1.6,3.5,0.116,1.1,-0.3,0.9,1.0,none,0.15356184676712542,0.7396190002343329,-0.20532844871755604,0.4256799070616316,0.5430556076256845,0.5044006858366318,0.360164766467975
237,237,Desmond Bane,25.0,MEM,SG,42.0,42.0,1443.0,18.5,0.589,0.464,0.207,2.6,11.8,7.0,29.2,1.5,1.4,11.7,28.5,1.8,1.3,3.1,0.102,3.1,-0.3,2.8,1.7,none,0.9205526297205812,0.40437218250620033,1.702936285204181,0.29893667084449643,0.8948891293372448,1.1131601342601527,0.8891411719788094
238,238,Vince Williams Jr.,23.0,MEM,SG,52.0,33.0,1436.0,12.8,0.597,0.551,0.343,4.3,18.3,11.0,18.0,1.6,2.2,17.4,15.8,1.1,1.7,2.8,0.093,-1.7,1.0,-0.7,0.5,none,0.06332763700789538,0.47685798093390463,-0.3336151535190175,0.2174588761334811,0.24677474723700213,0.06957250839125956,0.12339609936408753
239,239,Isaiah Stewart,22.0,DET,PF,46.0,45.0,1423.0,11.3,0.6,0.458,0.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,0.056,-1.6,-0.7,-2.3,-0.1,none,-0.16225788739017985,0.5040401553442938,-0.5420810488213923,-0.11750539101180431,-0.04950611315168024,-0.45222130454318704,-0.13658859826232497
240,240,Moritz Wagner,26.0,ORL,C,80.0,1.0,1415.0,20.6,0.676,0.208,0.37,9.6,19.3,14.4,11.2,1.4,1.4,13.1,22.8,3.5,2.0,5.6,0.188,1.7,0.3,2.0,1.4,none,1.2363723638778867,1.192655240407485,0.7888935134937691,1.0775022647497545,0.7467486991429036,0.8522632277929294,0.9824058849107881
241,241,Tyler Herro,24.0,MIA,SG,42.0,40.0,1407.0,15.7,0.558,0.453,0.151,1.5,16.5,8.9,22.4,1.1,0.2,10.6,27.8,0.4,1.6,2.0,0.068,1.5,-0.7,0.8,1.0,none,0.499459650844174,0.123489713598847,1.5906854185029025,-0.0088683313971171,0.5245380538513919,0.5044006858366318,0.5389508652061384
242,242,Wendell Carter Jr.,24.0,ORL,C,55.0,48.0,1406.0,15.9,0.623,0.402,0.315,9.3,22.7,15.9,9.9,1.2,1.9,12.3,17.2,2.2,2.1,4.4,0.149,0.5,0.4,0.9,1.0,none,0.5295377207639175,0.7124368258239437,-0.10911342011646039,0.7244318210020212,0.5430556076256845,0.5044006858366318,0.48412487348928973
243,243,Onyeka Okongwu,23.0,ATL,C,55.0,8.0,1405.0,16.9,0.674,0.189,0.318,10.8,18.6,14.6,7.2,0.9,3.8,9.8,13.7,3.5,1.0,4.5,0.153,0.0,-0.5,-0.4,0.5,none,0.679928070362634,1.1745337908005589,-0.6703677536228537,0.760644174206917,0.30232740855988005,0.06957250839125956,0.3861063664497327
244,244,Amen Thompson,21.0,HOU,SF,62.0,23.0,1388.0,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,none,0.875435524840966,0.2865827600611808,0.09935247518591439,0.7244318210020212,0.7097135915943183,0.7652975923038551,0.5768022941647093
245,245,Haywood Highsmith,27.0,MIA,PF,66.0,26.0,1366.0,11.1,0.587,0.584,0.109,5.3,12.1,8.7,7.2,1.9,2.1,9.0,12.4,1.1,1.9,3.1,0.108,-1.8,1.1,-0.7,0.5,none,-0.19233595730992337,0.38625073289927425,-0.8788336489252282,0.3532552006518401,0.24677474723700213,0.06957250839125956,-0.0025527361759625916
246,246,Dyson Daniels,20.0,NOP,PG,61.0,16.0,1358.0,12.0,0.529,0.434,0.17,5.1,14.1,9.7,15.4,3.1,1.8,15.0,12.6,0.7,2.2,2.9,0.103,-1.9,2.5,0.6,0.9,none,-0.056984642671078174,-0.13927130570158125,-0.846761972724863,0.3079897591457204,0.48750294630280655,0.4174350503475573,0.028318305783093644
247,247,Andre Drummond,30.0,CHI,C,79.0,10.0,1351.0,23.0,0.576,0.006,0.454,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,2.3,2.6,4.9,0.175,0.8,-0.7,0.1,0.7,none,1.5973092029148068,0.2865827600611808,0.5483559419910292,0.9598121168338434,0.3949151774313433,0.24350377936940837,0.671746496433602
248,248,Marcus Sasser,23.0,DET,PG,71.0,11.0,1351.0,11.8,0.542,0.469,0.129,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,0.3,0.6,0.9,0.033,-1.5,-1.1,-2.6,-0.2,none,-0.08706271259082143,-0.021481883256561685,0.32385420858847147,-0.3257264219399547,-0.10505877447455823,-0.5391869400322614,-0.12577708728428103
249,249,Kris Murray,23.0,POR,SF,62.0,29.0,1348.0,9.0,0.481,0.5,0.153,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,-0.4,1.0,0.7,0.024,-3.5,-0.2,-3.6,-0.6,none,-0.5081556914672286,-0.5741860962678073,-0.606224401222123,-0.4072042166509701,-0.29023431221748475,-0.8870494819885593,-0.5455090333023621
250,250,Miles McBride,23.0,NYK,PG,68.0,14.0,1328.0,13.1,0.59,0.586,0.11,2.6,5.9,4.2,12.2,1.9,0.5,5.9,16.4,2.4,1.3,3.6,0.131,-0.4,0.4,-0.1,0.6,none,0.10844474188751027,0.41343290730966337,-0.2374001249179218,0.5614762315799905,0.357880069882758,0.15653814388033396,0.22672866160372238
251,251,Jakob Poeltl,28.0,TOR,C,50.0,50.0,1319.0,18.9,0.653,0.0,0.283,11.9,24.1,17.9,14.0,1.3,5.1,15.3,16.2,2.4,1.4,3.8,0.138,-0.3,1.0,0.7,0.9,none,0.9807087695600677,0.984258569927835,-0.26947180111828706,0.6248478496885581,0.5060205000770992,0.4174350503475573,0.540633156413805
252,252,Joel Embiid,29.0,PHI,C,39.0,39.0,1309.0,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,5.2,2.3,7.5,0.275,8.5,3.1,11.6,4.5,AS,3.266642083460564,0.9027120466966677,3.482914314324457,1.8651209469562366,2.5244338614749977,3.548197927954237,2.59833686347786
253,253,Jeff Green,37.0,HOU,PF,78.0,6.0,1307.0,11.3,0.59,0.437,0.407,3.7,10.9,7.3,7.3,0.6,2.2,9.6,15.5,1.4,1.2,2.6,0.095,-1.6,-0.4,-2.1,0.0,none,-0.16225788739017985,0.41343290730966337,-0.3817226678195656,0.235565052735929,-0.012471005603094993,-0.3652556690541126,-0.04545154497022678
254,254,Cameron Payne,29.0,2TM,PG,78.0,10.0,1304.0,12.8,0.566,0.555,0.139,1.8,8.1,4.9,21.9,1.6,0.8,11.4,19.1,1.4,1.0,2.4,0.089,-0.5,-0.6,-1.1,0.3,none,0.06332763700789538,0.19597551202655034,0.19556750378701063,0.18124652292858537,0.1727045321398315,-0.10435876258688931,0.11741049088383064
255,255,Cameron Payne,29.0,MIL,PG,47.0,2.0,702.0,12.6,0.603,0.59,0.198,0.8,8.7,4.8,20.7,1.5,0.4,11.4,16.7,1.1,0.5,1.6,0.108,-1.0,-0.5,-1.5,0.1,none,0.03324956708815187,0.5312223297546829,-0.1892926106173737,0.3532552006518401,0.09863431704266092,-0.2782900335650381,0.09146312839248733
256,256,Cameron Payne,29.0,PHI,PG,31.0,8.0,602.0,13.0,0.533,0.525,0.089,2.9,7.3,5.0,23.4,1.6,1.2,11.5,21.8,0.3,0.5,0.8,0.067,0.0,-0.8,-0.7,0.2,none,0.09340570692763865,-0.10302840648772907,0.6285351324919425,-0.01792141969834104,0.24677474723700213,-0.19132439807596371,0.1094068937324249
257,257,Gary Harris,29.0,ORL,SG,54.0,27.0,1297.0,9.4,0.587,0.69,0.152,2.2,6.1,4.1,9.1,1.9,1.0,8.9,11.7,1.1,1.5,2.7,0.099,-2.3,1.1,-1.2,0.3,none,-0.44799955162774185,0.38625073289927425,-0.991084515626507,0.2717774059408248,0.15418697836553888,-0.10435876258688931,-0.12187128543925003
258,258,Dereck Lively II,19.0,DAL,C,55.0,42.0,1294.0,18.1,0.728,0.007,0.274,11.4,20.4,16.0,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,0.183,-0.3,0.8,0.5,0.8,ROY-6,0.8603964898810946,1.6638129301875622,-0.846761972724863,1.032236823243635,0.4689853925285139,0.3304694148584829,0.5848565129957376
259,259,T.J. McConnell,31.0,IND,PG,71.0,4.0,1291.0,20.9,0.586,0.074,0.105,3.2,13.6,8.4,41.8,2.6,0.5,14.8,23.7,2.8,1.1,3.9,0.143,2.9,0.1,3.0,1.6,6MOY-7,1.2814894687575014,0.3771900080958112,0.9332160563954129,0.6701132911946776,0.9319242368858301,1.0261944987710785,0.8700212600167188
